ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
6666	8	5	6	35	5	17	2	CC549
6667	49	6	9	9	9	6	9	CC41/44
6668	8	10	5	4	6	6	8	CC32
6669	10	6	63	5	9	6	21	CC41/44
6670	4	10	15	9	8	439	9	CC269
6671	3	6	9	5	9	6	206	CC41/44
6672	4	10	2	3	3	11	9	CC269
6673	2	3	4	3	3	11	6	CC11
6674	1	6	4	17	8	41	6	unassigned CC for 6674
6675	6	10	19	5	3	11	9	unassigned CC for 6675
6676	3	6	4	9	9	6	9	CC41/44
6677	7	8	10	26	10	1	448	CC18
6678	17	5	19	17	3	26	6	CC60
6679	9	6	9	9	5	6	20	CC41/44
6680	7	16	55	251	3	56	16	CC178
6681	4	10	11	15	6	10	12	CC35
6682	17	29	2	26	26	65	53	unassigned CC for 6682
6683	27	6	9	5	9	6	449	CC41/44
6684	27	6	481	3	9	6	16	unassigned CC for 6684
6685	11	5	9	8	11	24	2	CC22
6686	8	3	52	9	8	11	9	CC364
6687	8	5	15	8	8	21	2	CC865
6688	15	5	18	24	8	19	62	CC4240/6688
6689	9	6	351	9	9	3	9	CC41/44
6690	15	5	18	18	8	19	62	CC4240/6688
6691	4	10	15	18	8	11	9	CC269
6692	15	5	18	9	8	19	62	CC4240/6688
6693	14	10	11	9	6	10	12	CC35
6694	3	6	9	4	11	6	9	CC41/44
6695	9	6	351	9	9	6	17	CC41/44
6696	8	6	9	17	9	6	9	CC41/44
6697	3	6	9	24	11	6	9	CC41/44
6698	3	3	9	5	11	6	9	CC41/44
6699	12	5	18	24	8	19	62	CC4240/6688
6700	8	10	5	9	9	3	8	CC32
6701	9	6	351	9	9	6	3	CC41/44
6702	259	6	9	129	9	6	9	CC41/44
6703	47	10	11	18	6	10	12	CC35
6704	14	5	6	76	3	8	18	CC334
6705	4	10	2	9	8	18	16	CC269
6706	3	5	9	5	252	6	9	CC41/44
6707	9	6	9	5	460	6	9	CC41/44
6708	10	6	9	24	309	41	9	unassigned CC for 6708
6709	47	3	482	76	21	59	49	unassigned CC for 6709
6710	9	6	483	9	9	6	311	CC41/44
6711	4	3	482	9	21	59	49	unassigned CC for 6711
6712	59	39	67	111	149	71	65	unassigned CC for 6712
6713	109	39	67	111	149	71	133	unassigned CC for 6713
6714	126	39	67	111	149	71	65	unassigned CC for 6714
6715	59	39	67	111	149	153	65	unassigned CC for 6715
6716	109	39	170	111	149	153	65	unassigned CC for 6716
6717	109	39	170	78	149	153	65	unassigned CC for 6717
6718	109	113	67	157	149	153	65	unassigned CC for 6718
6719	109	39	170	158	149	153	65	unassigned CC for 6719
6720	59	39	67	111	188	153	65	unassigned CC for 6720
6721	126	39	67	111	146	153	133	unassigned CC for 6721
6722	59	39	67	78	149	153	133	unassigned CC for 6722
6723	109	39	67	111	149	153	133	unassigned CC for 6723
6724	200	39	170	157	149	153	133	unassigned CC for 6724
6725	59	113	67	158	149	153	133	unassigned CC for 6725
6726	377	39	67	237	149	153	133	unassigned CC for 6726
6727	59	39	67	111	188	71	133	unassigned CC for 6727
6728	59	39	170	157	149	71	133	unassigned CC for 6728
6729	11	5	18	8	9	24	21	CC22
6730	11	5	11	8	11	24	21	CC22
6731	11	5	5	8	463	24	21	CC22
6732	12	2	9	9	194	60	10	unassigned CC for 6732
6733	3	6	34	32	11	6	9	CC41/44
6734	12	2	9	9	9	54	9	CC41/44
6735	4	10	2	5	8	441	20	unassigned CC for 6735
6736	3	6	485	5	11	6	9	CC41/44
6737	3	6	9	110	9	5	9	CC41/44
6738	262	6	9	5	6	22	2	unassigned CC for 6738
6739	28	6	9	110	9	6	9	CC41/44
6740	9	6	2	6	9	6	9	CC41/44
6741	28	6	9	17	464	6	9	CC41/44
6742	3	6	9	5	9	188	9	CC41/44
6743	3	104	9	4	9	6	9	CC41/44
6744	3	6	6	18	9	6	9	CC41/44
6745	3	6	9	14	9	6	2	CC41/44
6746	132	6	9	5	9	22	2	CC41/44
6747	28	104	9	9	9	6	9	CC41/44
6748	7	5	10	19	8	1	2	CC18
6749	2	10	9	5	26	24	338	unassigned CC for 6749
6750	1	6	4	17	9	6	74	unassigned CC for 6750
6751	4	10	4	330	3	11	9	CC269
6752	80	6	9	5	9	6	9	CC41/44
6753	6	5	105	18	6	13	17	unassigned CC for 6753
6754	12	10	9	18	465	10	12	CC35
6755	1	26	15	24	9	60	96	unassigned CC for 6755
6756	6	10	5	4	5	3	8	CC32
6757	4	10	2	5	8	4	9	CC269
6758	20	6	18	58	466	11	16	unassigned CC for 6758
6759	8	10	11	18	6	11	7	CC35
6760	20	5	10	3	10	442	16	unassigned CC for 6760
6761	3	6	19	201	3	6	9	CC41/44
6762	4	2	5	4	6	3	8	CC32
6763	17	5	173	13	5	24	17	CC174
6764	9	6	9	9	60	6	16	CC41/44
6765	329	5	1	13	36	53	15	CC213
6766	7	16	10	19	10	1	2	CC18
6767	3	6	9	32	11	6	9	CC41/44
6768	2	7	6	430	9	6	8	CC167
6769	4	10	5	13	10	3	8	CC32
6770	428	10	5	4	6	3	8	CC32
6771	8	8	15	26	10	1	16	unassigned CC for 6771
6772	9	5	18	9	11	9	17	CC23
6773	109	39	170	111	149	71	65	unassigned CC for 6773
6774	2	3	4	3	469	4	6	CC11
6775	4	10	5	4	6	443	8	CC32
6776	2	7	6	8	11	18	8	CC167
6777	1	10	1	24	5	1	17	unassigned CC for 6777
6778	16	10	15	17	8	11	17	CC269
6779	11	5	1	8	11	24	21	CC22
6780	4	10	159	17	8	22	9	CC269
6781	4	10	34	5	38	11	3	unassigned CC for 6781
6782	3	7	9	5	17	22	9	CC41/44
6783	247	6	9	5	9	6	9	CC41/44
6784	4	10	217	4	6	3	8	CC32
6785	4	10	2	5	3	6	9	unassigned CC for 6785
6786	16	6	9	32	9	6	9	CC41/44
6787	28	6	9	9	3	6	9	CC41/44
6788	3	6	9	60	468	6	9	CC41/44
6789	4	10	1	5	3	11	9	CC269
6790	427	5	12	12	12	13	10	unassigned CC for 6790
6791	4	10	2	201	38	11	9	CC269
6792	4	10	2	25	38	11	9	CC269
6793	4	16	15	17	8	11	22	CC269
6794	6	6	9	5	11	6	9	CC41/44
6795	3	6	9	5	11	440	9	CC41/44
6796	4	10	6	9	8	11	450	CC269
6797	10	5	18	429	11	9	17	CC23
6798	175	5	484	17	3	4	124	unassigned CC for 6798
6799	10	288	18	9	11	9	17	CC23
6800	10	5	18	9	11	9	2	CC23
6801	4	10	170	4	6	3	8	CC32
6802	8	5	13	17	8	21	2	CC865
6803	430	25	7	17	21	26	17	CC1157
6804	5	289	17	15	14	183	12	CC198
6805	27	6	486	3	9	6	16	unassigned CC for 6805
6806	4	10	11	432	6	10	12	CC35
6807	5	10	5	4	6	3	8	CC32
6808	59	39	67	190	149	153	65	unassigned CC for 6808
6809	109	39	170	111	149	153	451	unassigned CC for 6809
6810	109	39	67	157	149	153	65	unassigned CC for 6810
6811	59	113	67	158	149	445	65	unassigned CC for 6811
6812	59	39	67	78	188	153	133	unassigned CC for 6812
6813	126	39	67	78	148	71	65	unassigned CC for 6813
6814	109	39	170	111	148	444	65	unassigned CC for 6814
6815	12	2	15	5	169	414	2	CC37
6816	13	3	1	1	1	1	3	CC1
6817	9	6	4	91	430	21	3	unassigned CC for 6817
6818	46	2	79	7	63	6	5	unassigned CC for 6818
6819	9	6	6	11	3	8	16	unassigned CC for 6819
6820	13	5	6	40	6	8	18	CC334
6821	12	6	9	9	9	325	9	CC41/44
6822	13	5	6	5	3	8	18	CC334
6823	12	2	15	23	13	21	10	CC37
6824	2	3	4	3	34	4	6	CC11
6825	12	5	9	24	13	145	15	unassigned CC for 6825
6826	431	3	6	17	26	447	10	unassigned CC for 6826
6827	75	6	83	9	9	6	74	CC41/44
6828	46	3	14	5	9	5	9	unassigned CC for 6828
6829	75	6	153	32	9	6	9	CC41/44
6830	4	10	2	9	34	11	20	CC269
6831	2	3	4	3	13	4	6	CC11
6832	8	5	34	17	26	68	57	unassigned CC for 6832
6833	2	3	4	3	83	4	6	CC11
6834	323	6	15	5	58	18	20	unassigned CC for 6834
6835	12	2	4	91	13	21	151	CC37
6836	9	6	9	9	16	6	9	CC41/44
6837	4	10	135	32	8	11	9	CC269
6838	4	29	4	17	6	10	96	unassigned CC for 6838
6839	4	10	4	9	8	448	20	CC269
6840	15	5	9	24	8	145	15	CC4240/6688
6841	4	5	2	26	21	11	20	unassigned CC for 6841
6842	6	5	6	17	26	24	2	unassigned CC for 6842
6843	4	10	2	16	8	11	9	CC269
6844	8	5	6	17	3	68	2	CC60
6845	2	5	6	26	6	65	53	unassigned CC for 6845
6846	4	242	2	16	8	11	20	unassigned CC for 6846
6847	12	3	15	5	177	21	20	CC37
6848	4	10	15	5	8	21	9	CC269
6849	13	200	6	40	1	6	9	unassigned CC for 6849
6850	25	10	105	21	5	13	452	unassigned CC for 6850
6851	12	2	15	5	13	21	453	CC37
6852	13	5	6	40	3	8	8	CC334
6853	2	3	488	2	8	15	2	CC8
6854	4	10	2	17	8	449	9	CC269
6855	46	5	2	7	6	21	20	unassigned CC for 6855
6856	2	3	7	2	8	8	2	CC8
6857	12	2	4	9	194	54	10	unassigned CC for 6857
6858	8	290	313	4	5	3	8	unassigned CC for 6858
6859	2	3	7	17	8	6	2	CC8
6860	9	6	79	9	3	20	5	unassigned CC for 6860
6861	2	3	7	2	8	6	194	CC8
6862	3	6	9	5	9	22	74	CC41/44
6863	4	10	2	110	3	11	9	CC269
6864	27	6	9	3	13	6	16	unassigned CC for 6864
6865	2	6	63	9	9	11	9	CC41/44
6866	12	5	12	9	60	22	17	CC461
6867	10	6	9	5	9	26	9	CC41/44
6868	3	6	9	5	9	22	15	CC41/44
6869	1	5	1	277	36	53	15	CC213
6870	2	10	15	9	8	450	9	CC269
6871	4	10	5	4	26	3	8	CC32
6872	129	3	4	3	8	153	6	CC11
6873	46	3	4	3	8	4	6	CC11
6874	10	73	149	15	3	8	156	unassigned CC for 6874
6875	16	2	6	35	17	25	22	CC53
6876	9	6	9	9	249	6	8	CC41/44
6877	6	5	53	17	22	24	17	CC174
6878	219	5	275	17	11	25	21	unassigned CC for 6878
6879	6	5	489	17	21	24	17	CC174
6880	12	2	4	8	13	21	2	CC231
6881	2	3	1	3	8	4	6	CC11
6882	13	5	6	40	3	8	16	CC334
6883	12	2	15	5	13	21	2	CC37
6884	2	3	6	2	34	5	2	CC8
6885	75	6	153	9	9	6	9	CC41/44
6886	12	2	15	435	58	21	20	CC37
6887	12	2	15	5	470	21	10	CC37
6888	10	5	9	435	9	6	10	unassigned CC for 6888
6889	10	6	14	5	9	5	9	CC41/44
6890	75	6	448	9	9	6	74	CC41/44
6891	12	2	9	5	13	343	10	CC37
6892	12	2	4	8	13	1	16	CC231
6893	12	2	4	8	121	451	16	unassigned CC for 6893
6894	12	291	15	5	13	21	10	CC37
6895	4	6	9	9	471	2	9	CC41/44
6896	46	11	198	1	21	6	12	unassigned CC for 6896
6897	4	10	2	91	8	11	20	CC269
6898	2	16	12	436	3	60	7	CC254
6899	12	5	146	13	6	22	17	CC461
6900	298	2	2	231	13	24	16	unassigned CC for 6900
6901	3	26	34	13	5	24	17	CC174
6902	1	12	2	4	8	13	21	unassigned CC for 6902
6903	8	5	19	17	3	24	2	CC60
6904	4	5	11	9	46	10	12	CC35
6905	4	10	6	17	6	10	18	CC35
6906	4	10	9	17	13	11	29	unassigned CC for 6906
6907	4	10	11	9	6	5	12	CC35
6908	4	5	135	9	8	11	53	CC269
6909	1	6	58	9	9	6	9	CC41/44
6910	12	5	12	5	60	22	17	CC461
6911	4	7	11	17	6	10	12	CC35
6912	8	16	55	92	3	56	46	CC178
6913	4	5	11	17	6	9	12	CC35
6914	2	16	12	11	3	60	3	CC254
6915	2	16	12	11	3	60	2	CC254
6916	46	11	79	7	21	204	123	unassigned CC for 6916
6917	2	3	6	9	16	9	8	CC167
6918	1	11	72	313	363	40	251	unassigned CC for 6918
6919	1	11	491	313	363	40	251	unassigned CC for 6919
6920	6	11	72	3	474	40	251	unassigned CC for 6920
6921	5	4	490	15	14	7	12	CC198
6922	5	4	38	15	472	40	13	CC1136
6923	6	11	72	313	363	40	454	unassigned CC for 6923
6924	6	11	15	313	363	40	12	unassigned CC for 6924
6925	5	292	17	437	473	7	12	CC198
6926	4	3	15	17	5	6	8	unassigned CC for 6926
6927	46	18	88	24	22	6	410	unassigned CC for 6927
6928	222	3	58	7	30	5	255	CC4821
6929	8	3	154	17	26	21	12	unassigned CC for 6929
6930	4	10	5	4	30	3	8	CC32
6931	222	3	58	438	263	5	255	CC4821
6932	9	6	9	9	14	6	79	CC41/44
6933	1	5	34	13	1	13	17	CC174
6934	347	2	6	277	8	68	368	unassigned CC for 6934
6935	3	6	9	5	9	452	9	CC41/44
6936	20	10	5	4	118	3	8	CC32
6937	8	4	6	17	5	18	241	CC103
6938	5	85	17	15	14	7	16	CC198
6939	27	6	9	3	9	7	9	CC41/44
6940	8	4	6	17	26	18	2	CC103
6941	4	10	11	17	58	10	12	CC35
6942	8	6	9	5	26	6	18	CC41/44
6943	285	6	9	5	9	6	9	CC41/44
6944	3	6	6	5	9	22	9	CC41/44
6945	3	6	6	5	21	6	9	CC41/44
6946	3	6	6	5	9	22	8	CC41/44
6947	3	6	6	5	79	22	9	CC41/44
6948	12	6	6	110	9	6	9	CC41/44
6949	11	6	9	5	14	6	9	CC41/44
6950	3	6	6	5	11	22	9	CC41/44
6951	10	6	6	24	9	41	9	unassigned CC for 6951
6952	3	6	9	5	79	6	225	CC41/44
6953	9	3	9	9	10	6	17	CC41/44
6954	9	6	9	110	9	6	9	CC41/44
6955	3	6	9	24	9	6	9	CC41/44
6956	433	6	9	4	11	6	9	CC41/44
6957	59	39	67	158	189	153	65	unassigned CC for 6957
6958	126	39	170	189	148	71	133	unassigned CC for 6958
6959	126	39	67	78	146	153	133	unassigned CC for 6959
6960	109	39	67	111	147	153	65	unassigned CC for 6960
6961	126	142	67	235	149	153	223	unassigned CC for 6961
6962	59	39	67	78	229	153	65	unassigned CC for 6962
6963	5	4	17	15	14	457	12	CC198
6964	7	16	55	10	477	56	46	CC178
6965	1	5	6	17	26	21	2	CC865
6966	5	4	17	441	30	7	12	CC198
6967	75	6	7	9	9	6	9	CC41/44
6968	1	3	2	1	3	456	19	CC5
6969	2	3	4	3	448	4	6	CC11
6970	330	10	208	443	6	101	18	unassigned CC for 6970
6971	35	24	15	444	6	48	41	CC192
6972	201	3	72	16	363	60	120	unassigned CC for 6972
6973	10	5	18	442	11	9	17	CC23
6974	2	3	4	3	8	4	456	CC11
6975	25	16	7	17	58	24	2	unassigned CC for 6975
6976	16	2	6	48	17	25	22	CC53
6977	43	5	9	76	26	19	15	unassigned CC for 6977
6978	4	10	6	18	9	10	12	CC35
6979	8	10	1	4	6	3	2	CC32
6980	1	35	13	53	26	41	3	CC162
6981	3	6	9	9	9	21	77	CC41/44
6982	6	16	12	12	11	13	14	unassigned CC for 6982
6983	6	11	492	313	363	40	12	unassigned CC for 6983
6984	222	1	2	1	3	2	19	CC5
6985	1	5	13	173	175	34	165	unassigned CC for 6985
6986	10	3	4	3	8	4	169	CC11
6987	10	6	4	9	9	6	9	CC41/44
6988	4	10	2	25	8	6	20	unassigned CC for 6988
6989	9	6	351	24	9	6	311	CC41/44
6990	15	5	9	9	8	19	62	CC4240/6688
6991	6	5	2	4	143	16	17	unassigned CC for 6991
6992	47	3	482	4	21	59	49	unassigned CC for 6992
6993	41	6	351	76	3	6	311	unassigned CC for 6993
6994	6	5	105	35	6	13	17	unassigned CC for 6994
6995	4	293	2	5	38	11	9	unassigned CC for 6995
6996	142	6	9	60	8	6	317	unassigned CC for 6996
6997	432	5	19	17	475	26	2	CC60
6998	132	3	38	17	3	64	2	unassigned CC for 6998
6999	2	294	224	404	169	60	7	unassigned CC for 6999
7000	8	10	77	18	6	3	8	CC32
7001	3	6	152	5	9	6	9	CC41/44
7002	4	10	18	18	3	11	9	CC269
7003	8	10	5	4	5	3	239	CC32
7004	12	5	12	35	60	22	457	CC461
7005	12	6	9	17	8	3	9	unassigned CC for 7005
7006	155	6	9	32	5	65	9	unassigned CC for 7006
7007	3	6	6	12	9	6	9	CC41/44
7008	4	10	2	5	3	453	9	unassigned CC for 7008
7009	298	3	19	17	3	21	2	CC60
7010	12	10	12	35	60	22	17	CC461
7011	4	10	2	5	3	11	15	unassigned CC for 7011
7012	3	6	9	5	9	454	9	CC41/44
7013	4	10	2	5	3	11	22	unassigned CC for 7013
7014	8	10	16	15	6	3	8	CC32
7015	3	6	2	9	9	6	9	CC41/44
7016	8	10	5	4	6	3	455	CC32
7017	7	10	11	3	6	53	12	CC35
7018	9	5	12	9	60	64	9	unassigned CC for 7018
7019	12	10	5	35	6	22	160	unassigned CC for 7019
7020	8	6	9	4	9	3	160	unassigned CC for 7020
7021	4	10	2	25	3	11	9	CC269
7022	4	10	2	166	3	11	9	CC269
7023	8	10	77	4	6	455	8	CC32
7024	8	10	16	439	6	3	8	CC32
7025	8	10	229	18	6	10	12	CC35
7026	12	6	9	25	9	6	9	CC41/44
7027	2	6	9	5	6	6	3	CC41/44
7028	17	5	19	251	3	26	2	CC60
7029	8	3	19	17	26	21	12	unassigned CC for 7029
7030	1	5	13	53	238	41	3	CC162
7031	1	5	13	53	26	41	2	CC162
7032	132	3	19	17	26	21	2	unassigned CC for 7032
7033	2	3	2	3	6	3	8	unassigned CC for 7033
7034	7	133	12	13	36	53	15	CC213
7035	4	10	2	18	38	10	9	CC35
7036	4	5	1	5	36	11	15	CC213
7037	2	10	5	5	9	3	8	CC32
7038	80	5	39	428	65	42	40	unassigned CC for 7038
7039	3	6	494	445	9	6	21	CC41/44
7040	3	6	108	5	9	73	9	CC41/44
7041	262	6	9	5	287	22	9	CC41/44
7042	3	6	9	9	3	6	9	CC41/44
7043	11	5	18	9	11	18	21	CC22
7044	3	7	9	37	9	22	9	CC41/44
7045	3	6	495	5	9	6	9	CC41/44
7046	2	6	9	5	16	6	12	CC41/44
7047	3	6	9	5	9	73	9	CC41/44
7048	3	7	108	5	9	22	9	CC41/44
7049	3	6	9	5	11	6	20	CC41/44
7050	3	6	9	446	9	6	9	CC41/44
7051	2	6	9	5	9	22	9	CC41/44
7052	28	6	496	24	9	6	458	unassigned CC for 7052
7053	3	6	9	5	11	18	9	CC41/44
7054	3	6	9	5	478	22	9	CC41/44
7055	7	6	9	5	11	6	9	CC41/44
7056	8	6	9	9	9	6	432	CC41/44
7057	4	10	15	9	16	11	74	CC269
7058	3	6	9	7	9	6	9	CC41/44
7059	12	6	9	5	9	6	2	CC41/44
7060	3	6	9	5	9	6	459	CC41/44
7061	7	6	6	5	11	6	9	CC41/44
7062	3	6	9	5	479	6	9	CC41/44
7063	2	6	9	5	9	22	2	CC41/44
7064	3	10	15	9	8	11	9	CC269
7065	3	6	9	5	9	6	460	CC41/44
7066	363	6	9	5	9	22	9	CC41/44
7067	3	6	38	5	9	6	9	CC41/44
7068	364	6	9	5	9	25	112	CC41/44
7069	362	6	9	5	9	6	9	CC41/44
7070	3	6	63	5	9	6	9	CC41/44
7071	7	5	1	13	9	6	15	CC213
7072	8	92	12	11	3	7	6	unassigned CC for 7072
7073	46	28	56	7	6	235	5	unassigned CC for 7073
7074	362	6	9	5	9	6	21	CC41/44
7075	3	6	9	5	9	22	461	CC41/44
7076	3	6	108	15	11	6	9	CC41/44
7077	2	6	9	5	480	6	9	CC41/44
7078	1	7	9	5	9	22	9	CC41/44
7079	3	6	497	8	9	22	9	CC41/44
7080	3	6	498	5	9	6	9	CC41/44
7081	3	6	9	447	9	6	74	CC41/44
7082	3	116	9	17	9	22	2	unassigned CC for 7082
7083	330	10	208	443	6	101	12	unassigned CC for 7083
7084	2	6	9	9	5	9	9	CC41/44
7085	23	3	12	25	3	22	16	unassigned CC for 7085
7086	7	16	6	17	3	56	46	CC178
7087	8	10	5	4	6	3	197	CC32
7088	3	6	9	5	9	6	74	CC41/44
7089	6	5	393	2	21	24	2	unassigned CC for 7089
7090	4	10	165	5	8	26	10	unassigned CC for 7090
7091	4	3	3	17	6	10	12	CC35
7092	1	5	11	53	26	41	12	CC162
7093	9	16	12	3	8	39	6	unassigned CC for 7093
7094	3	6	9	5	435	6	9	CC41/44
7095	12	3	15	5	13	21	2	CC37
7096	6	5	12	17	26	68	2	unassigned CC for 7096
7097	2	16	4	3	8	4	6	CC11
7098	13	3	270	13	3	458	9	CC364
7099	2	6	279	9	21	6	20	unassigned CC for 7099
7100	13	5	12	5	3	8	2	unassigned CC for 7100
7101	12	5	12	35	482	22	9	CC461
7102	2	3	8	3	3	5	2	CC8
7103	4	245	4	9	6	138	9	unassigned CC for 7103
7104	4	121	15	17	8	11	20	CC269
7105	4	5	2	162	21	11	20	unassigned CC for 7105
7106	4	10	5	412	6	3	8	CC32
7107	4	10	15	37	8	11	1	CC269
7108	2	8	10	19	10	1	463	CC18
7109	8	2	15	11	483	11	7	unassigned CC for 7109
7110	11	5	15	13	50	11	21	unassigned CC for 7110
7111	2	3	16	1	3	11	9	CC364
7112	17	5	19	17	3	459	2	CC60
7113	439	6	2	9	3	6	9	CC41/44
7114	13	3	16	1	484	11	9	CC364
7115	12	5	146	35	6	460	224	unassigned CC for 7115
7116	3	6	79	5	9	6	9	CC41/44
7117	440	4	15	1	287	9	10	unassigned CC for 7117
7118	4	10	64	13	8	11	20	CC269
7119	8	16	15	5	5	17	7	unassigned CC for 7119
7120	13	3	111	40	485	5	17	unassigned CC for 7120
7121	3	6	9	5	486	6	9	CC41/44
7122	67	20	6	449	487	11	13	unassigned CC for 7122
7123	4	10	6	55	8	11	30	CC269
7124	11	7	18	17	5	24	16	unassigned CC for 7124
7125	441	4	15	40	488	11	9	unassigned CC for 7125
7126	8	6	500	9	9	461	9	CC41/44
7127	10	6	9	201	9	6	9	CC41/44
7128	2	3	4	3	8	24	6	CC11
7129	217	3	79	7	260	249	123	unassigned CC for 7129
7130	342	2	359	448	216	2	12	unassigned CC for 7130
7131	342	2	359	448	216	2	462	unassigned CC for 7131
7132	436	11	499	7	187	6	17	unassigned CC for 7132
7133	140	5	9	173	9	34	165	unassigned CC for 7133
7134	10	11	499	7	187	6	123	unassigned CC for 7134
7135	142	6	9	60	9	454	9	CC41/44
7136	2	16	6	7	9	18	8	CC167
7137	2	16	6	15	9	18	8	CC167
7138	2	245	6	15	9	18	8	CC167
7139	2	16	6	15	9	6	8	unassigned CC for 7139
7140	6	16	4	56	26	18	8	CC175
7141	28	6	34	9	9	6	9	CC41/44
7142	17	3	4	17	3	26	2	CC60
7143	12	10	2	5	38	11	9	unassigned CC for 7143
7144	437	295	9	450	24	40	450	unassigned CC for 7144
7145	438	5	19	9	481	36	165	unassigned CC for 7145
7146	217	14	316	7	260	249	123	unassigned CC for 7146
7147	330	296	208	443	6	101	12	unassigned CC for 7147
7148	6	7	7	451	21	18	17	unassigned CC for 7148
7149	19	6	9	60	9	6	9	CC41/44
7150	7	5	1	13	36	53	322	CC213
7151	12	6	6	9	9	363	9	CC41/44
7152	8	105	52	452	9	11	7	CC1572
7153	2	7	4	37	8	18	21	CC92
7154	3	231	406	12	6	24	16	unassigned CC for 7154
7155	5	4	406	265	14	7	12	CC198
7156	6	7	4	56	26	18	2	CC175
7157	324	6	34	25	365	5	21	unassigned CC for 7157
7158	324	232	139	25	365	2	21	unassigned CC for 7158
7159	2	5	6	25	17	25	22	CC53
7160	10	4	15	7	5	41	17	CC181
7161	4	10	502	9	8	11	17	CC269
7162	9	10	5	4	9	6	8	CC32
7163	3	6	9	9	9	22	6	CC41/44
7164	8	3	13	453	11	12	4	unassigned CC for 7164
7165	10	6	9	3	9	6	21	CC41/44
7166	2	3	4	3	8	466	49	CC11
7167	46	16	79	25	6	22	149	unassigned CC for 7167
7168	8	5	13	8	8	21	2	CC865
7169	2	3	4	3	8	467	6	CC11
7170	3	104	9	5	9	7	2	CC41/44
7171	6	7	4	56	26	18	17	CC175
7172	8	6	6	17	5	18	2	CC103
7173	11	5	503	8	11	24	21	CC22
7174	44	6	9	9	204	6	297	CC41/44
7175	10	5	18	9	490	9	17	CC23
7176	1	5	13	454	489	41	3	CC162
7177	9	300	9	17	9	6	9	CC41/44
7178	1	5	9	53	26	41	3	CC162
7179	8	5	12	17	8	21	2	CC865
7180	8	6	15	9	8	21	2	CC865
7181	8	5	484	17	8	21	2	CC865
7182	8	5	15	17	8	41	2	CC865
7183	1	3	1	1	1	1	19	CC1
7184	11	4	18	8	491	24	21	CC22
7185	12	5	6	9	3	26	2	CC334
7186	5	4	6	176	22	40	13	CC1136
7187	5	5	13	53	26	41	3	CC162
7188	4	6	9	5	9	6	70	CC41/44
7189	16	6	9	5	9	6	70	CC41/44
7190	12	5	4	35	192	22	17	CC461
7191	20	6	7	11	9	73	9	unassigned CC for 7191
7192	20	4	38	15	22	40	13	CC1136
7193	5	5	1	13	36	53	15	CC213
7194	2	10	5	35	6	3	8	CC32
7195	8	5	15	53	8	21	2	CC865
7196	4	10	2	5	15	11	22	unassigned CC for 7196
7197	4	5	11	9	28	6	129	unassigned CC for 7197
7198	4	5	2	5	38	11	17	unassigned CC for 7198
7199	12	3	15	13	3	11	9	CC364
7200	12	6	9	12	9	6	9	CC41/44
7201	2	16	12	11	3	60	13	CC254
7202	298	2	4	231	13	24	16	unassigned CC for 7202
7203	2	16	12	11	3	469	7	CC254
7204	12	5	146	5	6	22	17	CC461
7205	11	5	26	8	11	24	21	CC22
7206	9	5	9	2	9	6	2	CC41/44
7207	4	132	5	4	6	3	8	CC32
7208	17	5	6	17	3	26	10	CC60
7209	9	6	9	9	58	73	16	CC41/44
7210	6	6	63	9	5	11	74	unassigned CC for 7210
7211	8	10	5	8	5	3	8	CC32
7212	8	10	5	17	6	3	8	CC32
7213	25	16	111	11	3	4	7	CC254
7214	6	6	504	9	9	11	9	CC41/44
7215	4	3	5	4	15	3	8	CC32
7216	3	6	9	5	9	127	9	CC41/44
7217	447	5	1	13	36	53	15	CC213
7218	4	10	505	4	6	3	8	CC32
7219	9	6	9	9	58	6	17	CC41/44
7220	276	4	9	9	5	18	194	unassigned CC for 7220
7221	4	18	15	5	5	6	3	unassigned CC for 7221
7222	15	5	9	8	26	19	62	CC4240/6688
7223	12	2	15	455	58	11	3	unassigned CC for 7223
7224	8	10	506	4	6	3	8	CC32
7225	9	5	9	9	9	470	9	CC41/44
7226	4	10	15	9	8	20	9	CC269
7227	4	10	15	142	11	11	9	CC269
7228	4	10	19	8	8	11	17	CC269
7229	7	16	4	10	3	176	46	CC178
7230	3	6	9	447	9	6	9	CC41/44
7231	7	5	475	3	36	53	15	CC213
7232	3	6	148	5	9	6	70	CC41/44
7233	2	3	8	3	8	4	6	CC11
7234	3	6	159	5	14	25	9	CC41/44
7235	12	5	12	12	192	22	468	CC461
7236	17	6	19	17	3	53	2	CC60
7237	1	5	343	53	26	468	17	CC162
7238	3	6	9	5	9	6	96	CC41/44
7239	4	10	2	3	3	11	74	unassigned CC for 7239
7240	8	10	77	4	1	3	8	CC32
7241	3	5	2	5	3	11	2	unassigned CC for 7241
7242	7	5	19	17	3	26	13	CC60
7243	3	5	12	35	192	22	17	CC461
7244	12	5	12	13	192	22	17	CC461
7245	8	10	11	18	6	10	12	CC35
7246	4	10	2	5	3	11	178	unassigned CC for 7246
7247	1	5	2	53	26	41	3	CC162
7248	3	6	9	5	9	6	469	CC41/44
7249	2	16	12	15	3	60	7	CC254
7250	12	5	2	35	448	22	17	CC461
7251	21	5	139	9	492	68	17	unassigned CC for 7251
7252	10	6	63	5	9	6	6	CC41/44
7253	10	6	9	3	9	6	9	CC41/44
7254	6	5	34	17	21	24	17	CC174
7255	4	10	12	5	3	11	2	unassigned CC for 7255
